company_name,job_title,detail_url,employment_type,recruitment_count,location,job_field,description,career_level,education_level,skills,responsibilities,created_at
㈜미디어로그,미디어로그(LG그룹) 개발자 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46727590?rPageCode=SL&logpath=21&sn=6&sc=611,정규직인턴정규직 전환가능,,"서울시 마포구,강서구지도","Java 개발,SM/SI 개발,SI 개발,SI 개발 PM",,미리보기,즉시지원04/03(목) 등록오늘마감,"JAVA, Oracle, PostgreSQL, Python, React, SQL, Vue.js, Websquare, Spring Framework",,2025-04-14 00:21:58
㈜온라인투어,㈜온라인투어 JAVA개발 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46729971?rPageCode=SL&logpath=21&sn=6&sc=611,정규직수습3개월,,"서울시 종로구,서울전지역,마포구,서대문구,은평구,성북구,중구,용산구,성동구,광진구,중랑구,영등포구,동작구,강북구,동대문구지도",Java개발,,미리보기,즉시지원04/02(수) 등록~04/30(수),"API, JAVA, WAS, Linux",,2025-04-14 00:22:07
곽호영,"프로트엔드 개발 (React,HTML,CSS,Java,웹퍼블리싱)/ 중견기업",https://www.jobkorea.co.kr/Recruit/GI_Read/46789727?PageGbn=HH&logpath=2,· 정규직,,,,,,,"·
                            CSS, HTML, JAVA, React",,2025-04-14 00:22:15
곽호영,"블록체인 노드개발(GO언어,오픈소스)/ 중견기업",https://www.jobkorea.co.kr/Recruit/GI_Read/46789723?PageGbn=HH&logpath=2,· 정규직,,,,,,,"·
                            Go",,2025-04-14 00:22:22
곽호영,"백엔드 서버 개발(블록체인 서버연동,golang,solidity,bitcoin)/중견기업",https://www.jobkorea.co.kr/Recruit/GI_Read/46789700?PageGbn=HH&logpath=2,· 정규직,,,,,,,"·
                            GoLang, Solidity",,2025-04-14 00:22:29
곽호영,"서비스 기획(WEB3, APP, Figma)/ 중견기업",https://www.jobkorea.co.kr/Recruit/GI_Read/46789676?PageGbn=HH&logpath=2,· 정규직,,,,,,,"·
                            Jira, Figma",,2025-04-14 00:22:37
김희대,we[중견기업/코스닥/게임/판교]ma 4.블록체인 노드 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/46789608?PageGbn=HH&logpath=2,· 정규직,,,,,,,,,2025-04-14 00:22:44
김희대,we[중견기업/코스닥/게임/판교]ma 3.프론트엔드 개발(블록체인),https://www.jobkorea.co.kr/Recruit/GI_Read/46789600?PageGbn=HH&logpath=2,· 정규직,,,,,,,,,2025-04-14 00:22:51
김희대,we[중견기업/코스닥/게임/판교]ma 2.백엔드 개발(블록체인),https://www.jobkorea.co.kr/Recruit/GI_Read/46789585?PageGbn=HH&logpath=2,· 정규직,,,,,,,,,2025-04-14 00:22:58
김학문,/기술개발실 웹(업무용) 개발자(JAVA) (연구소),https://www.jobkorea.co.kr/Recruit/GI_Read/46789534?PageGbn=HH&logpath=2,· 정규직,,,,,,,스크랩인쇄공유신고이메일트위터페이스북공유하기 레이어 닫기,,2025-04-14 00:23:06
김태경,프론트엔드개발3년이상/Max 일억,https://www.jobkorea.co.kr/Recruit/GI_Read/46789453?PageGbn=HH&logpath=2,· 정규직,,,,,,,"·
                            Angular, Eclipse, Javascript, MSSQL, MyBatis, Oracle, PostgreSQL, React, TypeScript, vue",,2025-04-14 00:23:14
.Jonathan,[역삼역] 컴퓨터비전 엔지니어(시니어-리드급),https://www.jobkorea.co.kr/Recruit/GI_Read/46789178?PageGbn=HH&logpath=2,· 정규직,,,,,,,"·
                            C++, Python",,2025-04-14 00:23:22
㈜트랜스코스모스코리아,[성남/판교/셔틀버스/중식제공]포티투닷(현대 계열)자율주행 데이터라벨링,https://www.jobkorea.co.kr/Recruit/GI_Read/46786900?rPageCode=SL&logpath=2,계약직근무기간 3개월,1.0,경기도 성남시 수정구지도,데이터라벨링,,경력무관,학력무관,,,2025-04-14 00:23:31
랜드소프트㈜,2025년 랜드소프트 상시 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46785745?rPageCode=SL&logpath=2,정규직,5.0,서울시 서초구지도,"PROJECT Planner, Manager,BRAND Planner,WEB Designer,JAVA Developer - SM,JAVA Developer -SI",,경력(3년이상),학력무관,"JAVA, JSP, RDBMS, 풀스택, Adobe XD, Cloud, CMS, DBMS, GitHub, 전자정부표준프레임워크",,2025-04-14 00:23:39
㈜티스퀘어,[경력 3년 이상] 백엔드 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46783409?rPageCode=SL&logpath=2,정규직수습3개월,,서울시 영등포구지도,백엔드 개발자 채용 경력 3년 이상,,경력(3년이상),대졸이상,"JAVA, JPA, PostgreSQL, SaaS, Spring Boot, Selenium, Restful API",,2025-04-14 00:23:47
㈜엠아이티마스,"[여의도] 대형보험사 서버(Linux, Unix, Windows)시스템 운영관리",https://www.jobkorea.co.kr/Recruit/GI_Read/46778949?rPageCode=SL&logpath=2,정규직수습3개월,,서울시 영등포구지도,"한화생명, WAS 운영관리",,경력(1년이상),초대졸이상,"Unix, Window, Linux, Server",,2025-04-14 00:23:54
㈜에스테이트,[미래내일일경험] 영상편집/AI데이터 서비스 지원부분 직무 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46776337?rPageCode=SL&logpath=2,인턴근무기간 2개월,,"서울시 금천구,서울전지역,마포구,강서구,영등포구,경기전지역지도","레드브릭스/영상편집,시앤피컨설팅/AI컨설팅연구소",,경력무관,대졸이상(졸업예정자 가능),"Python, Excel, PowerPoint, 애프터이펙트, 파이널컷, 프리미어, 캡컷, Hugging Face",,2025-04-14 00:24:01
주식회사 엠피씨플러스,[경력] 솔루션 영업담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46769488?rPageCode=SL&logpath=2,정규직수습3개월,,"서울시 영등포구,서울전지역,동작구,강서구,중구,경기전지역지도",솔루션 기술영업,,경력(3년이상),학력무관,"Excel, PowerPoint",,2025-04-14 00:24:08
㈜워크존,KDB캐피탈 차세대 정보시스템 구축 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46769789?rPageCode=SL&logpath=2,계약직근무기간협의파견직근무기간협의프리랜서근무기간협의,,서울시 영등포구지도,시스템개발자,,경력,학력무관,"Eclipse, HTML5, JAVA, Jeus, Oracle, Tomcat, Unix, Linux, Spring Framework",,2025-04-14 00:24:15
㈜엠아이티마스,[평촌] 야간 작업(Batch) 운영자(OP) 정년퇴직자 환영,https://www.jobkorea.co.kr/Recruit/GI_Read/46766631?rPageCode=SL&logpath=2,정규직수습3개월,,경기도 안양시 동안구지도,평촌 야간 작업Batch 운영자OP,,경력무관,학력무관,,,2025-04-14 00:24:23
(주)맨파워코리아,[마곡] AI Tech 스타트업 기업 AI Agent Developer,https://www.jobkorea.co.kr/Recruit/GI_Read/46764947?rPageCode=SL&logpath=2,계약직근무기간 7개월파견직근무기간 7개월,,서울시 강서구지도,Agent Developer,,경력(1년이상),대졸이상,,,2025-04-14 00:24:31
㈜이노스트,[시청역 ] 금융 C# 윈도우11 업그레이드 설치 프로그램 및 웹 화면개발,https://www.jobkorea.co.kr/Recruit/GI_Read/46764320?rPageCode=SL&logpath=2,계약직프리랜서,1.0,서울시 중구지도,개발 유지보수 C#,,경력(6년이상),초대졸이상,C#,,2025-04-14 00:24:38
